IdCT,NameType,MinAge,RequiredExperience
1,tempus,30,2
2,"cursus,",39,2
3,quam,35,2
4,sodales,38,3
5,tempor,43,2
6,sodales,43,3
7,Sed,21,3
8,blandit,18,2
9,tincidunt.,28,2
10,convallis,50,2
11,et,33,3
12,egestas.,25,3
13,cursus,22,3
14,interdum.,41,2
15,Sed,28,3
16,Duis,47,2
17,non,35,2
18,laoreet,16,3
19,"quis,",44,1
20,sit,19,2
21,ornare.,49,1
22,dolor,47,1
23,mi,42,1
24,neque,34,2
25,"id,",35,3
26,dui,35,3
27,tempor,21,3
28,imperdiet,43,3
29,sed,32,2
30,Mauris,36,3
31,molestie,44,2
32,ligula.,39,2
33,elit,46,3
34,"pellentesque,",17,1
35,Integer,46,2
36,nunc,41,3
37,ac,28,2
38,non,23,2
39,euismod,43,1
40,pede.,31,3
41,tristique,22,2
42,scelerisque,48,1
43,egestas,45,2
44,"eu,",45,2
45,vitae,50,2
46,nec,30,1
47,accumsan,38,1
48,Aliquam,38,3
49,pretium,34,1
50,Suspendisse,43,2
51,et,38,2
52,elit.,23,2
53,"tortor,",49,2
54,sit,39,1
55,pellentesque,48,2
56,in,23,1
57,lacinia,39,1
58,massa,21,2
59,orci,37,2
60,tincidunt,35,1
61,"ante,",40,2
62,hymenaeos.,19,1
63,diam,19,1
64,parturient,30,2
65,"ut,",42,2
66,pretium,36,2
67,enim,48,1
68,lacus.,20,1
69,ante,27,2
70,purus.,20,1
71,justo,39,1
72,Donec,29,2
73,velit,35,1
74,magna.,21,2
75,euismod,35,3
76,fringilla,21,1
77,aliquet,34,2
78,ultricies,35,2
79,"non,",39,2
80,et,23,2
81,Donec,27,2
82,In,27,3
83,et,26,2
84,et,45,2
85,tincidunt,34,2
86,senectus,37,2
87,scelerisque,20,2
88,Quisque,35,2
89,nisi,25,2
90,Sed,41,2
91,"pede,",33,2
92,et,46,2
93,neque,17,2
94,arcu,22,3
95,tristique,34,1
96,orci.,24,2
97,mauris,50,1
98,et,50,2
99,molestie,37,1
100,Duis,28,2
101,diam.,24,3
102,Ut,49,2
103,quam,22,3
104,mauris.,32,2
105,morbi,25,2
106,nec,16,3
107,dictum,22,1
108,"non,",17,2
109,In,42,1
110,"pede,",37,2
111,Nunc,38,1
112,hendrerit.,27,3
113,eget,43,2
114,malesuada,26,1
115,diam,23,1
116,Donec,19,3
117,"et,",34,2
118,pharetra,43,3
119,amet,49,2
120,eu,36,3
121,nibh.,23,2
122,"pellentesque,",37,2
123,sed,25,2
124,Donec,43,1
125,ante.,27,2
126,facilisi.,18,3
127,risus.,48,2
128,vulputate,20,1
129,nec,35,2
130,arcu,45,1
131,felis.,44,3
132,mauris.,41,1
133,netus,19,2
134,interdum,21,2
135,eros.,43,1
136,eleifend,47,3
137,Cum,24,2
138,"non,",48,2
139,pharetra,18,2
140,ornare,19,1
141,Donec,38,1
142,id,20,2
143,lacinia,20,2
144,fringilla,22,2
145,feugiat.,19,3
146,libero.,26,2
147,neque.,18,2
148,sem,23,2
149,Donec,34,2
150,nisi.,41,1
151,sociis,25,1
152,ullamcorper,19,2
153,interdum.,47,3
154,scelerisque,27,3
155,Ut,25,3
156,est,39,1
157,hendrerit,21,2
158,eleifend,39,2
159,eget,31,2
160,Curabitur,27,2
161,velit,38,3
162,malesuada,22,3
163,in,29,1
164,sapien.,33,2
165,ut,36,3
166,at,44,2
167,"eu,",41,2
168,"non,",46,3
169,Integer,49,2
170,massa.,24,3
171,sit,32,2
172,"non,",27,3
173,dignissim,23,2
174,lacus.,39,3
175,egestas,16,1
176,neque,35,2
177,Cras,43,2
178,elit,23,3
179,Proin,39,2
180,Integer,18,2
181,ridiculus,43,1
182,"non,",25,2
183,"a,",46,1
184,Etiam,37,1
185,est,47,1
186,felis,22,2
187,Cras,49,2
188,Proin,45,3
189,nunc,46,1
190,Nullam,42,2
