Id,ExperienceLevel
401,2
402,2
403,3
404,3
405,2
406,3
407,3
408,2
409,1
410,3
411,2
412,2
413,2
414,3
415,3
416,3
417,1
418,1
419,2
420,3
421,1
422,1
423,1
424,1
425,3
426,3
427,3
428,3
429,3
430,1
431,1
432,1
433,2
434,2
435,3
436,2
437,1
438,3
439,3
440,2
441,1
442,1
443,2
444,3
445,1
446,3
447,2
448,2
449,2
450,2
451,1
452,3
453,3
454,1
455,1
456,1
457,1
458,3
459,3
460,3
461,2
462,1
463,2
464,3
465,2
466,3
467,1
468,3
469,1
470,3
471,2
472,3
473,3
474,3
475,3
476,3
477,3
478,2
479,2
480,3
481,3
482,3
483,1
484,2
485,2
486,1
487,3
488,2
489,2
490,1
491,3
492,2
493,3
494,2
495,1
496,1
497,1
498,3
499,1
500,3
501,1
502,3
503,2
504,1
505,1
506,2
507,3
508,1
509,1
510,2
511,2
512,2
513,1
514,2
515,3
516,2
517,3
518,1
519,1
520,1
521,1
522,3
523,1
524,3
525,3
526,3
527,1
528,2
529,3
530,2
531,2
532,3
533,1
534,3
535,2
536,3
537,3
538,1
539,3
540,3
541,1
542,3
543,2
544,3
545,2
546,1
547,3
548,1
549,1
550,3
551,1
552,3
553,1
554,2
555,3
556,1
557,1
558,3
559,2
560,3
561,2
562,2
563,3
564,2
565,3
566,2
567,1
568,1
569,1
570,2
571,1
572,2
573,3
574,3
575,2
576,3
577,1
578,3
579,3
580,2
581,3
582,3
583,1
584,2
585,3
586,3
587,2
588,1
589,2
590,1
591,1
592,3
593,3
594,3
595,2
596,3
597,1
598,3
599,3
600,1
601,1
602,1
603,1
604,3
605,3
606,1
607,3
608,2
609,3
610,3
611,3
612,3
613,3
614,1
615,2
616,3
617,3
618,1
619,1
620,1
621,2
622,1
623,1
624,1
625,1
626,2
627,1
628,1
629,2
630,2
631,3
632,3
633,3
634,2
635,2
636,3
637,1
638,1
639,1
640,2
641,1
642,3
643,1
644,3
645,3
646,3
647,1
648,3
649,2
650,3
651,3
652,1
653,1
654,3
655,3
656,3
657,1
658,3
659,2
660,1
661,1
662,1
663,1
664,1
665,2
666,2
667,1
668,3
669,3
670,2
671,1
672,2
673,3
674,1
675,3
676,2
677,3
678,3
679,1
680,1
681,1
682,3
683,2
684,1
685,3
686,3
687,3
688,2
689,1
690,2
691,3
692,3
693,2
694,3
695,3
696,1
697,2
698,3
699,2
700,3
701,2
702,3
703,1
704,2
705,1
706,3
707,3
708,3
709,2
710,1
711,3
712,3
713,3
714,2
715,1
716,2
717,1
718,3
719,3
720,2
721,1
722,2
723,1
724,3
725,2
726,2
727,1
728,3
729,2
730,3
731,1
732,2
733,1
734,1
735,1
736,3
737,3
738,3
739,2
740,1
741,1
742,1
743,2
744,2
745,1
746,1
747,2
748,2
749,1
750,3
751,2
752,2
753,1
754,2
755,2
756,3
757,2
758,2
759,3
760,1
761,2
762,2
763,1
764,2
765,3
766,3
767,1
768,1
769,2
770,2
771,1
772,2
773,3
774,3
775,2
776,1
777,1
778,3
779,3
780,3
781,1
782,1
783,1
784,1
785,1
786,3
787,3
788,1
789,3
790,3
791,1
792,3
793,3
794,2
795,1
796,1
797,1
798,3
799,3
800,2
